"crime_id","report_number","address","offense_description","offense_category","state_offense_code","arrest_charge","charge_description","incident_timestamp","incident_time","day_of_week","hour_of_day","year","scout_car_area","precinct","block_id","neighborhood","council_district","zip_code","longitude","latitude","oid","Geometry"
"3000037","1612060049","Lenore Ave & W 7 Mile Rd","AGGRAVATED / FELONIOUS ASSAULT","AGGRAVATED ASSAULT","1302","13002","AGGRAVATED / FELONIOUS ASSAULT","12/07/2016 02:45:00","21:45:00","2","21","2016","0805","08","261635413002004","Five Points","1","48219","-83.2817661760513","42.4287824739205","340","POINT (-83.28176617599996 42.42878247400006)"
"3000043","1612060057","Eastland Dr & Edmore Dr","LARCENY - THEFT FROM BUILDING","LARCENY","2303","23003","LARCENY - THEFT FROM BUILDING","12/06/2016 22:15:00","17:15:00","2","17","2016","0903","09","261635001001010","Regent Park","3","48205","-82.9436816482348","42.4473936393855","341","POINT (-82.94368164799994 42.44739363900004)"
"3000045","1612060023","Prevost St & Fargo St","AGGRAVATED / FELONIOUS ASSAULT","AGGRAVATED ASSAULT","1302","13002","AGGRAVATED / FELONIOUS ASSAULT","12/07/2016 00:00:00","19:00:00","2","19","2016","0804","08","261635401002002","Greenfield","2","48235","-83.204469859585","42.4393539008144","342","POINT (-83.20446985999996 42.43935390100006)"
"3000053","1612060070","Pinehurst St & W Outer Dr","MOTOR VEHICLE THEFT","STOLEN VEHICLE","2401","24001","MOTOR VEHICLE THEFT","12/05/2016 18:00:00","13:00:00","1","13","2016","1202","12","261635388001011","McDowell","2","48221","-83.1676355115448","42.434867085567","343","POINT (-83.16763551199995 42.434867086000054)"
"3000062","1612060050","University Pl & Munich St","BURGLARY - FORCED ENTRY","BURGLARY","2201","22001","BURGLARY - FORCED ENTRY","12/07/2016 03:00:00","22:00:00","2","22","2016","0507","05","261635017002018","Cornerstone Village","4","48224","-82.9201403219811","42.4053458773537","344","POINT (-82.92014032199995 42.40534587700006)"
"3000063","1612060065","Longfellow St & Rosa Parks Blvd","ASSAULT AND BATTERY/SIMPLE ASSAULT","ASSAULT","1301","13001","ASSAULT AND BATTERY/SIMPLE ASSAULT","12/06/2016 04:45:00","23:45:00","1","23","2016","1005","10","261635312002000","Boston Edison","5","48206","-83.1012820190764","42.378988618991","345","POINT (-83.10128201899994 42.37898861900004)"
"3000716","1612080220","Trowbridge St & Calvert St","ROBBERY","ROBBERY","1201","12000","ROBBERY","12/09/2016 00:33:00","19:33:00","4","19","2016","1005","10","261635322002012","Gateway Community","5","48202","-83.0861865468772","42.389421034338","346","POINT (-83.08618654699995 42.389421034000065)"
"3000074","1612060072","Newport St & Harper Ave","LARCENY - OTHER","LARCENY","2307","23007","LARCENY - OTHER","12/07/2016 04:10:00","23:10:00","2","23","2016","0910","09","261635042004010","Outer Drive-Hayes","4","48213","-82.9670640355424","42.4039468942588","347","POINT (-82.96706403599995 42.40394689400006)"
"3000075","1612060045","Wisconsin St & Mackenzie St","MOTOR VEHICLE THEFT","STOLEN VEHICLE","2401","24001","MOTOR VEHICLE THEFT","12/06/2016 23:00:00","18:00:00","2","18","2016","0210","02","261635347003001","Barton-McFarland","7","48204","-83.1542781272658","42.3566377217597","348","POINT (-83.15427812699994 42.35663772200007)"
"3000078","1612060060","Clayburn St & W Warren Ave","AGGRAVATED / FELONIOUS ASSAULT","AGGRAVATED ASSAULT","1302","13002","AGGRAVATED / FELONIOUS ASSAULT","12/07/2016 04:11:00","23:11:00","2","23","2016","0611","06","261635456004002","Warren Ave Community","7","48228","-83.2115819116725","42.3434521915968","349","POINT (-83.21158191199999 42.34345219200003)"
"3000094","1612060107","Westminster St & Brush St","DAMAGE TO PROPERTY","DAMAGE TO PROPERTY","2900","29000","DAMAGE TO PROPERTY","08/26/2016 22:00:00","18:00:00","5","18","2016","0301","03","261635114005009","North End","5","48202","-83.0774348841171","42.3875485669215","350","POINT (-83.07743488399996 42.38754856700007)"
"3000103","1612060100","Melvin St & S Ethel St","BURGLARY - FORCED ENTRY","BURGLARY","2201","22001","BURGLARY - FORCED ENTRY","11/20/2016 20:00:00","15:00:00","7","15","2016","0415","04","261635247001001","Boynton","6","48217","-83.1478474614961","42.2731346771355","351","POINT (-83.14784746099997 42.27313467700003)"
"3000105","1612060081","W Philadelphia St & Radford St","AGGRAVATED / FELONIOUS ASSAULT","AGGRAVATED ASSAULT","1302","13002","AGGRAVATED / FELONIOUS ASSAULT","12/07/2016 02:00:00","21:00:00","2","21","2016","1007","10","261635334001012","Petoskey-Otsego","5","48204","-83.1183480799311","42.3630024327671","352","POINT (-83.11834807999998 42.36300243300008)"
"3000108","1612060112","Cambridge Ave & Avon Ave","WEAPONS OFFENSE - OTHER","WEAPONS OFFENSES","5203","52003","WEAPONS OFFENSE - OTHER","12/07/2016 08:40:00","03:40:00","3","3","2016","0803","08","261635407002006","O'Hair Park","1","48219","-83.2266285863761","42.4316516270118","353","POINT (-83.22662858599995 42.431651627000065)"
"3000132","1612070015","Puritan St & Linwood St","AGGRAVATED / FELONIOUS ASSAULT","AGGRAVATED ASSAULT","1302","13002","AGGRAVATED / FELONIOUS ASSAULT","12/07/2016 10:30:00","05:30:00","3","5","2016","1212","12","261635302002005","Martin Park","2","48221","-83.1278109656575","42.4101621925719","354","POINT (-83.12781096599997 42.410162193000076)"
